User_Id,Race,Flavors,Positive,Negative,Medical
22,,"Cheese, Tree Fruit, Lemon, Chemical, Berry, Pepper, Fruit, Nutty, Rose, Blue, Apple, Sage, Tea, Honey, Butter, Vanilla, Coffee, Minty, Sweet, Tar, Pungent, Pine, Pear, Ammonia, Tobacco, Flowery","Energetic, Sleepy, Talkative","Dizzy, Anxious, Dry Mouth","Fatigue, Cramps, Pain, Headache, Stress, Insomnia, Headaches, Nausea, Lack of Appetite, Seizures"
23,,"Vanilla, Mango, Pepper, Tobacco, Nutty, Lime, Mint, Tar, Grapefruit, Citrus, Pear, Ammonia, Chestnut, Woody, Grape, Tree, Blue, Butter, Pineapple, Pungent","Giggly, Talkative, Euphoric, Creative, Hungry, Energetic, Uplifted","Dry Eyes, Dry Mouth","Seizures, Muscle Spasms, Stress, Eye Pressure, Fatigue, Headaches, Insomnia, Inflammation"
24,hybrid,"Pungent, Mango, Grapefruit, Blue, Strawberry, Pineapple, Tar, Pine, Fruit, Chestnut, Orange, Pepper, Plum, Ammonia, Lime, Violet, Grape, Nutty","Talkative, Uplifted, Giggly, Hungry, Tingly, Energetic, Relaxed","Dry Mouth, Paranoid","Insomnia, Inflammation, Headaches, Stress, Muscle Spasms, Fatigue, Lack of Appetite, Spasticity, Eye Pressure"
25,"hybrid, sativa","Pineapple, Minty, Peach, Chestnut, Mango, Chemical, Honey, Violet, Blueberry, Fruit, Grapefruit, Pear, Butter, Citrus, Tree Fruit, Nutty, Apple, Vanilla, Spicy/Herbal, Lime, Lavender, Tobacco, Pine, Sweet, Sage","Hungry, Uplifted, Aroused, Talkative, Relaxed, Sleepy","Dry Eyes, Paranoid, Anxious, Dizzy","Headaches, Insomnia, Cramps, Spasticity, Eye Pressure, Pain, Lack of Appetite"
26,"hybrid, sativa, indica","Flowery, Blueberry, Pineapple, Grapefruit, Coffee","Sleepy, Hungry, Uplifted, Happy",,"Spasticity, Insomnia, Seizures, Pain"
27,"indica, sativa","Lemon, Coffee, Earthy, Blueberry, Pear, Lavender, Flowery, Apple, Honey, Pineapple, Butter, Plum, Apricot, Fruit, Rose, Tree Fruit, Peach, Pepper, Tree, Mango, Menthol",,"Dry Eyes, Anxious","Seizures, Spasticity, Headaches, Headache, Stress, Inflammation, Eye Pressure, Insomnia"
28,"sativa, indica","Mint, Skunk, Tree, Violet, Sweet, Butter, Tea, Pepper, Diesel, Blue Cheese, Pungent, Cheese, Peach, Tree Fruit, Spicy/Herbal, Sage, Blue, Tropical",Happy,"Anxious, Dry Eyes, Paranoid, Dizzy","Muscle Spasms, Pain, Insomnia, Lack of Appetite, Depression, Eye Pressure, Cramps"
29,"hybrid, indica","Strawberry, Menthol, Plum, Coffee, Minty, Chestnut, Skunk, Mango, Honey, Apple, Spicy/Herbal, Nutty, Earthy, Tar, Sweet, Blueberry, Tea, Butter, Pungent, Citrus, Flowery, Lemon, Peach, Apricot, Woody, Violet, Grape, Cheese, Tobacco, Berry, Pineapple, Blue","Giggly, Focused, Hungry, Talkative","Paranoid, Anxious, Dry Mouth",
30,hybrid,"Minty, Woody, Blue Cheese, Butter, Cheese, Fruit, Tar, Sage, Rose, Tropical, Honey","Talkative, Creative",Dry Mouth,"Muscle Spasms, Nausea, Inflammation, Headache, Pain, Fatigue, Stress, Insomnia, Cramps"
31,indica,"Tea, Vanilla, Lime, Grapefruit, Sweet, Butter, Earthy, Tropical, Apple, Woody, Blue Cheese, Plum, Peach, Mint, Pepper, Pungent, Tree, Diesel, Tobacco, Rose, Strawberry, Lavender, Sage, Citrus, Cheese, Pine, Honey, Chestnut",,"Dry Mouth, Paranoid, Dizzy","Stress, Insomnia"
32,"hybrid, sativa","Lemon, Pepper, Minty, Cheese, Fruit, Mint, Woody, Ammonia, Violet, Honey, Apple",Euphoric,"Dry Eyes, Dry Mouth, Dizzy, Paranoid","Inflammation, Insomnia, Lack of Appetite, Nausea"
33,,"Tree, Skunk, Chemical, Plum, Tree Fruit, Citrus, Peach, Pepper, Strawberry, Menthol, Pineapple, Pungent, Spicy/Herbal, Tea","Hungry, Relaxed, Sleepy, Energetic, Talkative, Tingly","Dry Mouth, Dry Eyes, Anxious","Headache, Eye Pressure, Fatigue, Muscle Spasms, Pain, Depression"
34,sativa,"Orange, Tropical, Grapefruit, Peach, Fruit, Lime, Apricot, Blue Cheese, Blueberry, Nutty, Diesel, Tea, Skunk","Energetic, Talkative, Tingly, Euphoric, Creative, Aroused, Happy, Sleepy","Dizzy, Anxious, Dry Mouth","Spasticity, Cramps, Seizures, Nausea, Insomnia, Inflammation"
35,hybrid,"Minty, Pepper, Earthy, Blue, Flowery, Tobacco, Blue Cheese, Citrus, Tea, Grape, Spicy/Herbal, Pineapple, Vanilla, Skunk, Mint, Peach, Fruit, Rose, Lime, Chestnut, Butter, Apricot, Orange, Sage, Violet, Strawberry, Sweet, Grapefruit","Tingly, Giggly, Happy, Uplifted, Talkative, Aroused, Sleepy, Energetic, Focused",Dry Mouth,"Headache, Muscle Spasms"
36,"sativa, hybrid","Butter, Menthol, Flowery","Creative, Energetic, Euphoric",,Inflammation
37,"sativa, indica, hybrid","Honey, Lavender, Butter, Violet, Lemon, Woody, Plum, Sweet, Nutty, Tar, Tobacco, Citrus, Tree, Berry, Pine, Minty, Mint, Skunk, Fruit","Tingly, Creative, Happy, Sleepy, Aroused, Uplifted","Paranoid, Dry Eyes","Lack of Appetite, Nausea, Seizures, Pain, Inflammation, Eye Pressure, Headache, Muscle Spasms"
38,indica,"Orange, Menthol, Peach, Grape, Chemical, Blue, Spicy/Herbal, Berry, Tar, Woody, Pepper, Pine, Vanilla, Rose, Honey, Sweet, Earthy, Tobacco, Grapefruit, Lavender, Diesel, Apricot, Pear, Fruit, Coffee, Skunk, Sage, Blueberry","Energetic, Creative, Aroused, Giggly, Uplifted, Euphoric, Relaxed, Sleepy","Dizzy, Anxious, Dry Mouth","Headache, Lack of Appetite, Depression, Spasticity"
39,"sativa, indica","Pepper, Violet, Nutty, Cheese, Citrus, Diesel, Berry, Woody, Blueberry, Plum, Peach, Tea, Orange, Flowery, Grapefruit, Tree Fruit, Chestnut, Pungent, Minty, Fruit, Mango, Strawberry, Blue Cheese, Lime, Blue, Skunk, Chemical, Tobacco, Sweet, Ammonia, Coffee, Lemon, Tree","Aroused, Energetic, Giggly","Anxious, Paranoid, Dizzy","Eye Pressure, Inflammation, Insomnia, Headaches, Pain, Lack of Appetite, Depression, Seizures, Nausea, Stress"
40,"hybrid, sativa","Pepper, Blue Cheese, Chestnut, Earthy, Grape, Vanilla, Cheese, Chemical, Sage, Nutty, Skunk, Blue, Lemon, Sweet, Fruit, Coffee, Grapefruit, Apricot, Blueberry, Tar, Violet, Diesel, Tree, Tropical, Ammonia, Woody, Mango, Honey, Tobacco, Minty, Rose","Hungry, Focused",Paranoid,"Cramps, Headache, Depression, Nausea"
41,indica,"Orange, Blue, Menthol","Energetic, Relaxed, Happy, Talkative","Paranoid, Dizzy, Anxious, Dry Eyes","Lack of Appetite, Stress, Depression, Fatigue, Seizures, Muscle Spasms, Pain, Headache, Cramps"
42,"hybrid, indica, sativa","Blueberry, Lavender, Grape, Pine, Tar, Skunk, Rose, Spicy/Herbal, Nutty, Earthy, Flowery, Blue Cheese, Diesel, Citrus, Pineapple, Lemon, Blue, Tea, Chemical, Butter, Ammonia, Mint, Woody, Peach, Lime, Orange, Tree, Sage, Cheese, Tree Fruit",,"Paranoid, Dry Eyes, Anxious, Dry Mouth","Eye Pressure, Inflammation, Stress, Cramps, Spasticity, Headache"
43,"hybrid, indica","Pepper, Earthy, Coffee, Grape, Diesel, Berry, Lemon, Blue Cheese, Cheese","Euphoric, Tingly, Focused, Relaxed, Talkative",Paranoid,"Lack of Appetite, Nausea, Cramps, Insomnia, Depression, Headache"
44,indica,"Grape, Sweet, Tree, Pepper, Nutty, Minty, Woody, Chemical, Pine, Earthy, Lemon, Berry, Lime, Apple, Spicy/Herbal","Euphoric, Talkative, Uplifted, Aroused, Sleepy, Happy, Creative, Tingly",Dizzy,Spasticity
45,indica,"Earthy, Pungent, Tree, Tea, Tobacco, Cheese, Vanilla, Flowery, Plum, Sage, Chemical, Tropical, Spicy/Herbal, Apricot, Mango, Pear, Mint, Coffee, Apple, Pepper, Tar, Ammonia, Honey, Fruit, Orange, Skunk, Pineapple, Butter, Violet, Minty, Tree Fruit, Chestnut, Sweet, Peach","Happy, Euphoric, Uplifted, Energetic, Creative, Talkative, Giggly, Relaxed, Tingly, Hungry","Paranoid, Anxious","Headaches, Depression, Eye Pressure, Fatigue, Cramps, Inflammation, Insomnia, Headache"
46,sativa,"Peach, Pepper, Coffee, Pungent, Earthy, Minty, Tree Fruit, Blue Cheese, Sage, Nutty, Chestnut, Tea, Sweet, Skunk, Berry, Diesel, Tar, Blueberry, Honey, Spicy/Herbal, Vanilla",Energetic,"Anxious, Dry Mouth, Paranoid, Dry Eyes","Muscle Spasms, Spasticity, Headaches, Lack of Appetite, Headache"
47,"hybrid, sativa","Sage, Diesel, Ammonia, Cheese, Woody, Tree Fruit, Apple, Grapefruit, Tropical, Earthy, Tea, Violet, Coffee, Blue, Minty, Lemon, Pungent, Menthol, Pineapple, Mango, Citrus, Rose","Relaxed, Energetic, Happy, Tingly, Creative, Euphoric, Sleepy","Paranoid, Dizzy","Eye Pressure, Pain, Insomnia, Seizures, Nausea, Depression, Stress, Muscle Spasms, Lack of Appetite, Fatigue"
48,,"Grape, Strawberry, Chestnut, Pine, Sage, Honey, Butter, Tropical, Tobacco, Apple, Lemon, Vanilla, Skunk, Tar, Mango, Orange, Apricot, Pungent, Blueberry, Chemical, Pear, Grapefruit, Nutty, Earthy, Tree","Uplifted, Hungry","Dry Eyes, Dizzy, Paranoid, Dry Mouth","Seizures, Lack of Appetite, Stress, Insomnia, Eye Pressure, Headache, Cramps"
49,"indica, hybrid","Butter, Vanilla, Blue Cheese, Grapefruit, Berry, Chemical, Peach, Blue, Apple, Apricot, Mango, Tea, Tree, Lavender, Chestnut, Rose, Pear, Diesel, Citrus, Sage, Fruit","Sleepy, Talkative, Giggly, Happy, Energetic, Relaxed, Tingly, Focused, Aroused",Dizzy,"Headache, Headaches, Pain, Cramps, Seizures, Spasticity, Muscle Spasms"
50,hybrid,"Pungent, Chemical, Lime, Coffee, Nutty, Earthy, Sage, Menthol, Apple, Chestnut, Blueberry, Strawberry, Minty, Lemon, Tree Fruit, Blue, Sweet","Focused, Happy, Uplifted, Relaxed, Sleepy, Euphoric, Giggly","Dry Mouth, Anxious","Lack of Appetite, Inflammation, Spasticity, Cramps, Insomnia, Seizures, Headaches, Muscle Spasms, Stress, Pain, Fatigue"
51,"hybrid, sativa","Chemical, Rose, Fruit, Sweet, Tea, Pineapple, Berry, Woody, Tropical, Chestnut, Menthol, Lemon, Mint, Skunk, Blue, Orange, Sage, Earthy, Apple, Honey","Creative, Sleepy, Aroused, Talkative, Energetic, Giggly, Happy","Dizzy, Dry Eyes","Inflammation, Depression"
52,hybrid,"Sage, Rose, Peach, Mint, Sweet, Menthol, Strawberry, Pepper, Earthy, Grapefruit, Vanilla, Violet, Lime, Cheese, Skunk, Mango, Butter, Apple, Pungent, Tree, Blue, Pine","Happy, Aroused, Talkative, Relaxed, Euphoric, Tingly, Uplifted, Creative","Paranoid, Dry Mouth","Depression, Seizures"
53,sativa,"Pear, Chestnut, Plum, Pine, Blueberry, Coffee, Strawberry, Pungent, Flowery, Lime, Tree, Fruit","Talkative, Euphoric, Tingly","Dizzy, Paranoid",Stress
54,hybrid,,"Tingly, Euphoric, Uplifted, Creative, Talkative, Sleepy, Focused","Paranoid, Dry Mouth","Muscle Spasms, Spasticity, Headaches, Headache, Seizures, Pain, Stress, Nausea"
55,,"Tobacco, Tropical, Pine, Peach, Spicy/Herbal, Pineapple, Nutty, Diesel, Violet, Orange, Berry, Citrus, Ammonia, Earthy, Mango, Menthol, Cheese, Coffee, Chemical, Pungent, Blue, Plum, Tree, Skunk, Apple, Vanilla, Blueberry","Happy, Relaxed, Sleepy, Energetic, Uplifted, Creative",Dizzy,"Insomnia, Spasticity, Inflammation, Pain, Stress"
56,"hybrid, indica","Blueberry, Berry, Lemon, Apple, Coffee","Hungry, Creative, Happy, Focused, Aroused, Giggly, Talkative, Relaxed, Tingly","Paranoid, Anxious, Dizzy, Dry Eyes","Headaches, Lack of Appetite, Fatigue, Stress, Seizures, Pain, Depression, Cramps, Muscle Spasms"
57,"sativa, hybrid","Sweet, Tree, Diesel, Apple, Honey, Spicy/Herbal, Flowery, Butter, Violet, Lemon, Tobacco, Grapefruit, Pear, Blue Cheese, Tea, Berry, Mint, Blue, Blueberry, Grape, Nutty, Cheese, Lime, Chemical, Pungent, Menthol, Lavender, Pineapple, Tar, Tropical, Pine","Relaxed, Tingly, Sleepy, Euphoric, Uplifted",Dizzy,"Fatigue, Eye Pressure, Cramps"
58,"sativa, indica","Honey, Plum, Coffee, Lemon, Menthol, Tree, Sweet, Pepper, Tar, Tree Fruit, Spicy/Herbal, Butter, Violet, Strawberry, Woody, Mango, Pine, Grapefruit, Blue Cheese, Apricot, Sage, Chemical, Skunk, Grape",,Dry Eyes,"Muscle Spasms, Nausea"
59,"hybrid, indica","Ammonia, Orange",,"Dizzy, Dry Eyes","Muscle Spasms, Insomnia, Cramps, Spasticity, Stress, Lack of Appetite, Fatigue, Inflammation, Depression"
60,"sativa, hybrid","Apple, Tobacco, Nutty, Pineapple, Chemical, Diesel, Peach, Berry, Ammonia",,,"Nausea, Fatigue, Cramps, Lack of Appetite, Insomnia, Muscle Spasms, Inflammation, Seizures, Pain"
61,"indica, hybrid","Earthy, Grape, Spicy/Herbal, Chemical, Tea, Strawberry, Honey, Sweet, Tar, Sage, Chestnut, Skunk, Fruit, Mango, Tropical","Talkative, Uplifted, Tingly, Focused, Giggly, Creative, Aroused","Anxious, Paranoid, Dizzy, Dry Eyes","Spasticity, Muscle Spasms, Lack of Appetite, Cramps, Pain, Fatigue, Eye Pressure, Nausea, Depression"
62,"indica, sativa","Plum, Flowery, Rose, Honey, Tropical, Lime, Menthol, Butter, Pine, Blueberry, Minty, Blue Cheese, Coffee, Orange, Strawberry, Tar, Earthy, Nutty, Sage, Pear, Apricot","Creative, Happy, Relaxed, Energetic, Focused, Aroused",Dry Mouth,"Headache, Pain, Inflammation, Stress, Muscle Spasms, Lack of Appetite"
63,"hybrid, sativa","Tobacco, Tropical, Apricot, Butter, Ammonia, Blue Cheese, Mango, Grapefruit, Grape, Lime, Menthol, Peach, Diesel, Spicy/Herbal, Skunk, Honey, Blueberry, Earthy, Rose, Sweet, Pear, Tea, Sage, Lavender, Plum, Berry, Citrus","Tingly, Giggly, Creative","Anxious, Paranoid","Fatigue, Insomnia, Seizures, Depression, Nausea, Stress"
64,"sativa, indica","Lime, Plum, Mango, Cheese, Earthy, Lavender, Pear, Tar, Skunk, Berry, Butter, Pineapple, Pungent, Nutty, Diesel",Creative,"Paranoid, Dry Mouth, Dizzy, Dry Eyes",Spasticity
65,"indica, hybrid","Skunk, Tree Fruit, Chestnut, Lavender, Butter, Tar, Rose, Strawberry, Pear, Grapefruit, Citrus, Minty, Menthol, Orange, Honey, Woody, Coffee, Tropical","Hungry, Sleepy, Happy",Paranoid,"Cramps, Fatigue, Lack of Appetite, Seizures, Eye Pressure, Insomnia, Nausea, Stress"
66,indica,"Berry, Tea, Butter, Earthy, Chemical, Chestnut, Pine, Tree Fruit","Giggly, Relaxed, Hungry, Energetic","Paranoid, Dry Mouth","Insomnia, Seizures, Pain, Stress, Muscle Spasms, Fatigue, Lack of Appetite"
67,"sativa, hybrid","Orange, Ammonia, Spicy/Herbal, Blue Cheese, Berry, Honey, Chestnut, Earthy, Mango, Fruit, Diesel, Flowery, Sweet, Apricot, Coffee, Tropical, Woody, Apple, Lavender, Minty, Grapefruit, Mint","Relaxed, Creative, Focused, Happy","Dry Eyes, Anxious, Paranoid","Nausea, Muscle Spasms"
68,indica,"Pineapple, Lime, Vanilla, Citrus, Butter","Creative, Sleepy, Hungry, Happy, Relaxed, Talkative","Anxious, Paranoid, Dizzy","Eye Pressure, Fatigue, Inflammation, Stress, Headaches, Spasticity, Seizures"
69,"hybrid, sativa","Vanilla, Violet, Lime","Relaxed, Focused, Sleepy, Energetic",,"Eye Pressure, Seizures"
70,"hybrid, indica","Blue Cheese, Spicy/Herbal, Lime, Sage, Berry, Nutty, Pear, Butter, Tar, Lavender, Grape, Ammonia, Earthy","Focused, Hungry, Relaxed, Tingly, Sleepy, Giggly, Euphoric, Energetic",,"Headache, Headaches, Nausea, Stress, Pain, Seizures, Spasticity, Depression"
71,indica,"Blueberry, Tobacco, Lavender, Ammonia, Lime, Tree Fruit, Sage, Butter, Mint, Cheese","Focused, Relaxed, Euphoric, Hungry, Giggly, Talkative","Anxious, Paranoid, Dizzy","Pain, Insomnia, Headaches, Lack of Appetite, Spasticity, Nausea, Fatigue"
72,,"Menthol, Vanilla, Tree, Lemon, Skunk, Nutty","Hungry, Happy, Relaxed, Creative, Giggly, Uplifted, Sleepy","Dry Eyes, Anxious","Spasticity, Cramps, Headaches"
73,"sativa, hybrid, indica","Apple, Skunk, Orange, Cheese, Tar, Minty, Pineapple, Lavender, Coffee, Honey, Blueberry, Spicy/Herbal, Blue Cheese, Woody",Talkative,Dry Mouth,"Headache, Eye Pressure, Spasticity, Pain, Cramps, Inflammation, Muscle Spasms, Lack of Appetite, Fatigue"
74,"hybrid, indica","Flowery, Berry, Pepper, Fruit, Pungent, Tropical, Coffee, Pear, Tree, Blue, Chestnut, Rose, Cheese, Grapefruit, Mango, Orange, Butter, Apricot, Menthol, Vanilla, Strawberry, Apple","Happy, Sleepy, Euphoric, Relaxed, Energetic",Dry Eyes,"Stress, Cramps, Inflammation"
75,"sativa, indica","Pungent, Blue, Mango, Orange, Tobacco, Plum, Tea, Menthol, Grape, Grapefruit, Tropical, Peach, Lavender, Pepper, Citrus, Cheese, Pineapple, Sage, Sweet, Pine, Rose","Uplifted, Focused","Dry Eyes, Anxious, Dizzy, Dry Mouth","Seizures, Headache, Pain, Muscle Spasms"
76,,"Minty, Tar, Tree, Blueberry, Violet, Grapefruit, Lavender, Cheese, Spicy/Herbal, Lime, Blue Cheese, Pungent, Blue, Skunk, Pear, Orange, Menthol, Sweet, Nutty, Tobacco, Butter, Strawberry, Vanilla, Peach, Pine, Tea, Flowery, Mint, Tree Fruit, Sage, Chestnut, Tropical, Coffee, Berry","Talkative, Focused, Tingly, Uplifted, Aroused, Euphoric",,"Nausea, Fatigue, Insomnia, Cramps, Depression, Spasticity, Eye Pressure, Inflammation"
77,"hybrid, sativa","Pine, Orange, Tree, Blueberry, Tropical, Fruit, Spicy/Herbal, Sage, Chestnut, Woody, Flowery, Pungent, Ammonia, Violet, Chemical, Cheese, Rose, Apricot, Honey, Skunk, Lemon, Apple, Mango, Pepper, Diesel, Pineapple, Strawberry, Vanilla, Menthol, Mint, Butter, Peach, Berry","Energetic, Relaxed, Euphoric","Dry Eyes, Anxious, Dry Mouth","Muscle Spasms, Seizures, Inflammation, Insomnia, Nausea, Stress, Eye Pressure"
78,sativa,"Sweet, Coffee, Ammonia, Lavender, Citrus, Violet, Lemon, Grapefruit, Plum, Mango, Tree, Flowery, Chemical, Honey, Berry, Pungent, Earthy, Orange, Chestnut, Tea, Blueberry, Pine, Fruit","Focused, Talkative","Dry Eyes, Dry Mouth","Depression, Seizures, Insomnia, Headaches, Fatigue, Eye Pressure, Spasticity, Headache"
79,,"Woody, Apricot, Strawberry, Diesel, Mango, Plum, Blueberry, Lemon, Honey, Flowery, Apple, Pear, Citrus, Tree Fruit, Tropical, Pine, Coffee, Lime, Blue Cheese, Spicy/Herbal, Ammonia, Menthol, Fruit, Chemical, Orange, Sage, Butter, Cheese, Vanilla, Skunk","Creative, Hungry, Euphoric, Talkative, Giggly, Uplifted, Tingly, Happy","Dry Mouth, Dizzy","Headaches, Inflammation, Lack of Appetite, Stress, Fatigue, Muscle Spasms"
80,"indica, sativa, hybrid","Tree Fruit, Blue, Chestnut, Berry, Rose, Butter, Mango, Diesel, Apple, Pepper, Vanilla","Happy, Tingly, Talkative, Euphoric","Dizzy, Paranoid, Anxious, Dry Eyes","Headache, Eye Pressure, Headaches, Muscle Spasms, Inflammation"
